index,type,task,subcategory,prompt
item92,constrained,article_synopsis,,"Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nUN mediator Matthew Nimetz visits Athens as part of renewed efforts to resolve the longstanding dispute between Greece and Macedonia over the use of the name ""Macedonia."""
item93,constrained,article_synopsis,,"Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nGerman authorities conduct raids on the apartments of four Islamic clerics suspected of spying on supporters of U.S.-based cleric Fethullah Gulen, accused by the Turkish government of orchestrating a coup."
item94,constrained,words_given,,"Write a text that uses all of the following words:\n\ndispersive prism, wavelengths, light, spectral"
item95,constrained,words_given,,"Write a text that uses all of the following words:\n\nexogamy, diversity, genetic, relatedness, outbreeding"
item96,constrained,words_given,,"Write a text that uses all of the following words:\n\nwine, yeast, grapes, differences, fermentation"
item97,constrained,words_given,,"Write a text that uses all of the following words:\n\ndivision of labor, specialization, economic, interdependence"
item98,constrained,words_given,,"Write a text that uses all of the following words:\n\nsensory processing disorder, midbrain, nervou system, memory, cognitive functions"
item99,constrained,words_given,,"Write a text that uses all of the following words:\n\nChinese Exclusion Act, immigration, laborers, law"
item100,constrained,words_given,,"Write a text that uses all of the following words:\n\nWatergate, Nixon, scandal, building, involvement"
item101,constrained,words_given,,"Write a text that uses all of the following words:\n\nStoicism, Hellenistic, philosophy, ethics, logic"
item102,constrained,words_given,,"Write a text that uses all of the following words:\n\nisotherm, line, temperature, Alexander von Humboldt"
item103,constrained,words_given,,"Write a text that uses all of the following words:\n\nostensive defining, Wittgenstein, communication, interpret"
item104,constrained,words_given,,"Write a text that uses all of the following words:\n\nGulag, government, Soviet Union, forced labor camps, Lenin"
item105,constrained,words_given,,"Write a text that uses all of the following words:\n\ncryptocurrency, digital, exchange, decentralized, money"
